section,name,package,description,status,introduced_in,removed_in,v22,v21,v20,v19,v18,v17,v16,v15,v14,angular_courses_url,angular_dev_url,notes
Features,Standalone API,@angular/core,"Directly import other components, directives, and pipes used in their templates and enable some features such as defer, hostDirectives and loadComponent.",stable,14,,stable,stable,stable,stable,stable,stable,stable,stable,experimental,https://www.angular.courses/caniuse?tab=features,https://angular.dev/guide/components/importing#standalone-components,migration: ng generate @angular/core:standalone
Features,@defer,@angular/core,"Defer the loading of select dependencies such as components, directives, and pipes, and any associated CSS within a template",stable,17,,stable,stable,stable,stable,stable,preview,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,https://angular.dev/guide/defer#,
Features,@for,@angular/core,Angular templates support control flow blocks that let you conditionally repeat elements.,stable,17,,stable,stable,stable,stable,stable,preview,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,https://angular.dev/guide/templates/control-flow#repeat-content-with-the-for-block,migration: ng generate @angular/core:control-flow
Features,@switch,@angular/core,Angular templates support control flow blocks that let you conditionally show elements.,stable,17,,stable,stable,stable,stable,stable,preview,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,https://angular.dev/guide/templates/control-flow#conditionally-display-content-with-the-switch-block,migration: ng generate @angular/core:control-flow
Features,@if,@angular/core,Angular templates support control flow blocks that let you conditionally show and hide elements.,stable,17,,stable,stable,stable,stable,stable,preview,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,https://angular.dev/guide/templates/control-flow#conditionally-display-content-with-if-else-if-and-else,migration: ng generate @angular/core:control-flow
Features,Functional guards/resolvers,@angular/router,Create guards and resolvers using functions.,stable,14.2,,stable,stable,stable,stable,stable,stable,stable,stable,not_available,https://www.angular.courses/caniuse?tab=features,,
Features,Functional interceptors,@angular/router,Create interceptors using functions.,stable,15,,stable,stable,stable,stable,stable,stable,stable,stable,not_available,https://www.angular.courses/caniuse?tab=features,https://v18.angular.dev/guide/http/interceptors#,
Features,@let,@angular/core,Define a local variable and re-use it across the template.,stable,18.1,,stable,stable,stable,stable,not_available,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,https://angular.dev/guide/templates/variables#local-template-variables-with-let,
Features,Signal (core),@angular/core,"System that granularly tracks how and where your state is used throughout an application, allowing the framework to optimize rendering updates.",stable,16,,stable,stable,stable,stable,stable,stable,preview,not_available,not_available,https://www.angular.courses/caniuse?tab=features,https://angular.dev/guide/signals#,
Features,Signal inputs,@angular/core,Allow values to be bound from parent components.,stable,17.1,,stable,stable,stable,stable,preview,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,https://angular.dev/guide/signals/inputs#,migration: ng generate @angular/core:signal-input-migration
Features,output(),@angular/core,Enable emitting values to parent directives and components.,stable,17.3,,stable,stable,stable,stable,preview,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,https://angular.dev/guide/components/outputs#,migration: ng generate @angular/core:output-migration
Features,Signal queries,@angular/core,"Signals to retrieve references to child components, directives, DOM elements, and more.",stable,17.2,,stable,stable,stable,stable,preview,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,https://angular.dev/guide/signals/queries#,migration: ng generate @angular/core:signal-queries-migration
Features,Signal model,@angular/core,Special type of input that enable a component to propagate new values back to another component.,stable,17.2,,stable,stable,stable,stable,preview,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,https://angular.dev/guide/signals/model,
Features,Signal effect,@angular/core,Operation that runs whenever one or more signal values change.,stable,16,,stable,stable,stable,preview,preview,preview,preview,not_available,not_available,https://www.angular.courses/caniuse?tab=features,https://angular.dev/guide/signals#effects,
Features,Signal inputs converter,@angular/language-service,Language service refactoring action that can convert `@Input()` declarations to signal inputs.,stable,19,,stable,stable,stable,stable,not_available,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,,
Features,withEventReplay,@angular/platform-browser,Support for replaying user events (e.g. clicks) that happened on a page before hydration logic has completed.,stable,18,,stable,stable,stable,stable,preview,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,https://angular.dev/guide/hydration#capturing-and-replaying-events,
Features,provideZonelessChangeDetection,@angular/platform-browser,Provide change detection without ZoneJS for the application bootstrapped using bootstrapApplication.,stable,18,,stable,stable,preview,experimental,experimental,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,https://angular.dev/guide/testing/components-scenarios#automatic-change-detection,
Features,withI18nSupport,@angular/platform-browser,Enable support for hydrating i18n blocks.,stable,18,,stable,stable,stable,preview,preview,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,https://angular.dev/guide/hydration#i18n,
Features,createRequestHandler,@angular/ssr,"Annotate a request handler function with metadata, marking it as a special handler.",stable,19,,stable,stable,stable,preview,not_available,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,,
Features,createNodeRequestHandler,@angular/ssr,Attache metadata to the handler function to mark it as a special handler for Node.js environments.,stable,19,,stable,stable,stable,preview,not_available,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,,
Features,isMainModule,@angular/ssr,Determine whether the provided URL represents the main entry point module.,stable,19,,stable,stable,stable,preview,not_available,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,,
Features,PendingTasks,@angular/ssr,Experimental service that keeps track of pending tasks contributing to the stableness of Angular application.,stable,18,,stable,stable,stable,preview,experimental,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,https://angular.dev/guide/experimental/zoneless#experimentalpendingtasks-for-server-side-rendering-ssr,
Features,AngularAppEngine,@angular/ssr,"Manage Angular server applications (including localized ones), handles rendering requests, and optionally transforms index HTML before rendering.",stable,19,,stable,stable,stable,preview,not_available,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,,
Features,AngularNodeAppEngine,@angular/ssr,"Manage Angular server applications (including localized ones), handles rendering requests, and optionally transforms index HTML before rendering.",stable,19,,stable,stable,stable,preview,not_available,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,,
Features,createWebRequestFromNodeRequest,@angular/ssr,,stable,19,,stable,stable,stable,preview,not_available,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,,
Features,writeResponseToNodeResponse,@angular/ssr,,stable,19,,stable,stable,stable,preview,not_available,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,,
Features,RenderMode,@angular/ssr,Different rendering modes for server routes.,stable,19,,stable,stable,stable,preview,not_available,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,,
Features,PrerenderFallback,@angular/ssr,Fallback strategies for Static Site Generation (SSG) routes.,preview,19,,preview,preview,preview,preview,not_available,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,,
Features,ServerRoute,@angular/ssr,Server route configuration.,stable,19,,stable,stable,stable,preview,not_available,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,,
Features,provideServerRendering,@angular/ssr,Configure the necessary providers for server routes configuration.,stable,19,,stable,stable,stable,preview,not_available,not_available,not_available,not_available,not_available,https://www.angular.courses/caniuse?tab=features,,
Features,afterEveryRender,@angular/core,Register a callback to be invoked each time the application finishes rendering,stable,16,,stable,stable,stable,preview,preview,preview,preview,not_available,not_available,https://www.angular.courses/caniuse?tab=features,https://angular.dev/guide/components/lifecycle#aftereveryrender-and-afternextrender,
